TIME_AT_CENTER_OF_HOUR_yyyy-mm-ddThh:mm:ss.sssZ,3-H_KP*10_,1-H_DST_nT,SOLAR_LYMAN-ALPHA_W/m^2
1997-12-02T12:30:00.000Z,13,-14,0.00736600
1997-12-02T13:30:00.000Z,13,-13,0.00736600
1997-12-02T14:30:00.000Z,13,-9,0.00736600
1997-12-02T15:30:00.000Z,3,-7,0.00736600
1997-12-02T16:30:00.000Z,3,-7,0.00736600
1997-12-02T17:30:00.000Z,3,-10,0.00736600
1997-12-02T18:30:00.000Z,10,-9,0.00736600
1997-12-02T19:30:00.000Z,10,-8,0.00736600
1997-12-02T20:30:00.000Z,10,-4,0.00736600
1997-12-02T21:30:00.000Z,10,-1,0.00736600
1997-12-02T22:30:00.000Z,10,2,0.00736600
1997-12-02T23:30:00.000Z,10,6,0.00736600
1997-12-03T00:30:00.000Z,20,-2,0.00721500
1997-12-03T01:30:00.000Z,20,-8,0.00721500
1997-12-03T02:30:00.000Z,20,-12,0.00721500
1997-12-03T03:30:00.000Z,10,-8,0.00721500
1997-12-03T04:30:00.000Z,10,-9,0.00721500
1997-12-03T05:30:00.000Z,10,-11,0.00721500
1997-12-03T06:30:00.000Z,13,-12,0.00721500
1997-12-03T07:30:00.000Z,13,-13,0.00721500
1997-12-03T08:30:00.000Z,13,-13,0.00721500
1997-12-03T09:30:00.000Z,13,-16,0.00721500
1997-12-03T10:30:00.000Z,13,-16,0.00721500
1997-12-03T11:30:00.000Z,13,-15,0.00721500
1997-12-03T12:30:00.000Z,23,-14,0.00721500
1997-12-03T13:30:00.000Z,23,-13,0.00721500
1997-12-03T14:30:00.000Z,23,-12,0.00721500
1997-12-03T15:30:00.000Z,13,-13,0.00721500
1997-12-03T16:30:00.000Z,13,-16,0.00721500
1997-12-03T17:30:00.000Z,13,-15,0.00721500
1997-12-03T18:30:00.000Z,13,-12,0.00721500
1997-12-03T19:30:00.000Z,13,-9,0.00721500
1997-12-03T20:30:00.000Z,13,-7,0.00721500
1997-12-03T21:30:00.000Z,20,-7,0.00721500
1997-12-03T22:30:00.000Z,20,-12,0.00721500
1997-12-03T23:30:00.000Z,20,-15,0.00721500
1997-12-04T00:30:00.000Z,17,-15,0.00699000
1997-12-04T01:30:00.000Z,17,-15,0.00699000
1997-12-04T02:30:00.000Z,17,-12,0.00699000
1997-12-04T03:30:00.000Z,0,-11,0.00699000
1997-12-04T04:30:00.000Z,0,-12,0.00699000
1997-12-04T05:30:00.000Z,0,-11,0.00699000
1997-12-04T06:30:00.000Z,7,-10,0.00699000
1997-12-04T07:30:00.000Z,7,-10,0.00699000
1997-12-04T08:30:00.000Z,7,-11,0.00699000
1997-12-04T09:30:00.000Z,13,-11,0.00699000
1997-12-04T10:30:00.000Z,13,-11,0.00699000
1997-12-04T11:30:00.000Z,13,-12,0.00699000
1997-12-04T12:30:00.000Z,13,-12,0.00699000
1997-12-04T13:30:00.000Z,13,-12,0.00699000
1997-12-04T14:30:00.000Z,13,-11,0.00699000
1997-12-04T15:30:00.000Z,17,-9,0.00699000
1997-12-04T16:30:00.000Z,17,-6,0.00699000
1997-12-04T17:30:00.000Z,17,-9,0.00699000
1997-12-04T18:30:00.000Z,17,-9,0.00699000
1997-12-04T19:30:00.000Z,17,-9,0.00699000
1997-12-04T20:30:00.000Z,17,-9,0.00699000
1997-12-04T21:30:00.000Z,30,-13,0.00699000
1997-12-04T22:30:00.000Z,30,-15,0.00699000
1997-12-04T23:30:00.000Z,30,-14,0.00699000
1997-12-05T00:30:00.000Z,13,-15,0.00693400
1997-12-05T01:30:00.000Z,13,-17,0.00693400
1997-12-05T02:30:00.000Z,13,-14,0.00693400
1997-12-05T03:30:00.000Z,17,-10,0.00693400
1997-12-05T04:30:00.000Z,17,-9,0.00693400
1997-12-05T05:30:00.000Z,17,-11,0.00693400
1997-12-05T06:30:00.000Z,20,-12,0.00693400
1997-12-05T07:30:00.000Z,20,-16,0.00693400
1997-12-05T08:30:00.000Z,20,-15,0.00693400
1997-12-05T09:30:00.000Z,20,-21,0.00693400
1997-12-05T10:30:00.000Z,20,-27,0.00693400
1997-12-05T11:30:00.000Z,20,-25,0.00693400
1997-12-05T12:30:00.000Z,20,-25,0.00693400
1997-12-05T13:30:00.000Z,20,-21,0.00693400
1997-12-05T14:30:00.000Z,20,-21,0.00693400
1997-12-05T15:30:00.000Z,27,-24,0.00693400
1997-12-05T16:30:00.000Z,27,-24,0.00693400
1997-12-05T17:30:00.000Z,27,-20,0.00693400
1997-12-05T18:30:00.000Z,20,-15,0.00693400
1997-12-05T19:30:00.000Z,20,-13,0.00693400
1997-12-05T20:30:00.000Z,20,-12,0.00693400
1997-12-05T21:30:00.000Z,27,-13,0.00693400
1997-12-05T22:30:00.000Z,27,-27,0.00693400
1997-12-05T23:30:00.000Z,27,-26,0.00693400
1997-12-06T00:30:00.000Z,17,-24,0.00691800
1997-12-06T01:30:00.000Z,17,-25,0.00691800
1997-12-06T02:30:00.000Z,17,-25,0.00691800
1997-12-06T03:30:00.000Z,10,-22,0.00691800
1997-12-06T04:30:00.000Z,10,-22,0.00691800
1997-12-06T05:30:00.000Z,10,-21,0.00691800
1997-12-06T06:30:00.000Z,13,-18,0.00691800
1997-12-06T07:30:00.000Z,13,-17,0.00691800
1997-12-06T08:30:00.000Z,13,-16,0.00691800
1997-12-06T09:30:00.000Z,13,-15,0.00691800
1997-12-06T10:30:00.000Z,13,-14,0.00691800
1997-12-06T11:30:00.000Z,13,-16,0.00691800
1997-12-06T12:30:00.000Z,3,-17,0.00691800
1997-12-06T13:30:00.000Z,3,-18,0.00691800
1997-12-06T14:30:00.000Z,3,-18,0.00691800
1997-12-06T15:30:00.000Z,3,-14,0.00691800
1997-12-06T16:30:00.000Z,3,-14,0.00691800
1997-12-06T17:30:00.000Z,3,-12,0.00691800
1997-12-06T18:30:00.000Z,3,-12,0.00691800
1997-12-06T19:30:00.000Z,3,-10,0.00691800
1997-12-06T20:30:00.000Z,3,-10,0.00691800
1997-12-06T21:30:00.000Z,13,-11,0.00691800
