EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,GSE_X_km,GSE_Y_km,GSE_Z_km
1997-12-02T11:40:00.000Z,1267242.4,2241.3659,170925.91
1997-12-02T11:50:00.000Z,1267299.3,2309.7895,170909.24
1997-12-02T12:00:00.000Z,1267356.1,2378.1932,170892.56
1997-12-02T12:10:00.000Z,1267412.9,2446.5769,170875.85
1997-12-02T12:20:00.000Z,1267469.6,2514.9406,170859.14
1997-12-02T12:30:00.000Z,1267526.3,2583.2843,170842.40
1997-12-02T12:40:00.000Z,1267583.0,2651.6079,170825.65
1997-12-02T12:50:00.000Z,1267639.7,2719.9115,170808.89
1997-12-02T13:00:00.000Z,1267696.4,2788.1951,170792.11
1997-12-02T13:10:00.000Z,1267753.0,2856.4586,170775.31
1997-12-02T13:20:00.000Z,1267809.6,2924.7020,170758.50
1997-12-02T13:30:00.000Z,1267866.2,2992.9252,170741.68
1997-12-02T13:40:00.000Z,1267922.7,3061.1284,170724.83
1997-12-02T13:50:00.000Z,1267979.3,3129.3115,170707.97
1997-12-02T14:00:00.000Z,1268035.8,3197.4744,170691.10
1997-12-02T14:10:00.000Z,1268092.3,3265.6171,170674.21
1997-12-02T14:20:00.000Z,1268148.7,3333.7397,170657.31
1997-12-02T14:30:00.000Z,1268205.1,3401.8420,170640.39
1997-12-02T14:40:00.000Z,1268261.5,3469.9242,170623.45
1997-12-02T14:50:00.000Z,1268317.9,3537.9862,170606.50
1997-12-02T15:00:00.000Z,1268374.3,3606.0279,170589.53
1997-12-02T15:10:00.000Z,1268430.6,3674.0494,170572.55
1997-12-02T15:20:00.000Z,1268486.9,3742.0506,170555.56
1997-12-02T15:30:00.000Z,1268543.2,3810.0315,170538.54
1997-12-02T15:40:00.000Z,1268599.5,3877.9921,170521.51
1997-12-02T15:50:00.000Z,1268655.7,3945.9325,170504.47
1997-12-02T16:00:00.000Z,1268711.9,4013.8525,170487.41
1997-12-02T16:10:00.000Z,1268768.1,4081.7522,170470.34
1997-12-02T16:20:00.000Z,1268824.2,4149.6315,170453.24
1997-12-02T16:30:00.000Z,1268880.4,4217.4905,170436.14
1997-12-02T16:40:00.000Z,1268936.5,4285.3291,170419.02
1997-12-02T16:50:00.000Z,1268992.5,4353.1473,170401.88
1997-12-02T17:00:00.000Z,1269048.6,4420.9452,170384.73
1997-12-02T17:10:00.000Z,1269104.6,4488.7225,170367.56
1997-12-02T17:20:00.000Z,1269160.6,4556.4795,170350.38
1997-12-02T17:30:00.000Z,1269216.6,4624.2160,170333.18
1997-12-02T17:40:00.000Z,1269272.6,4691.9320,170315.96
1997-12-02T17:50:00.000Z,1269328.5,4759.6276,170298.73
1997-12-02T18:00:00.000Z,1269384.4,4827.3027,170281.49
1997-12-02T18:10:00.000Z,1269440.3,4894.9572,170264.23
1997-12-02T18:20:00.000Z,1269496.2,4962.5913,170246.95
1997-12-02T18:30:00.000Z,1269552.0,5030.2048,170229.66
1997-12-02T18:40:00.000Z,1269607.8,5097.7977,170212.36
1997-12-02T18:50:00.000Z,1269663.6,5165.3701,170195.03
1997-12-02T19:00:00.000Z,1269719.4,5232.9220,170177.70
1997-12-02T19:10:00.000Z,1269775.1,5300.4532,170160.34
1997-12-02T19:20:00.000Z,1269830.8,5367.9638,170142.97
1997-12-02T19:30:00.000Z,1269886.5,5435.4538,170125.59
1997-12-02T19:40:00.000Z,1269942.2,5502.9232,170108.19
1997-12-02T19:50:00.000Z,1269997.8,5570.3719,170090.78
1997-12-02T20:00:00.000Z,1270053.4,5637.7999,170073.35
1997-12-02T20:10:00.000Z,1270109.0,5705.2073,170055.90
1997-12-02T20:20:00.000Z,1270164.6,5772.5940,170038.44
1997-12-02T20:30:00.000Z,1270220.1,5839.9599,170020.97
1997-12-02T20:40:00.000Z,1270275.6,5907.3052,170003.47
1997-12-02T20:50:00.000Z,1270331.1,5974.6297,169985.97
1997-12-02T21:00:00.000Z,1270386.6,6041.9334,169968.44
